round,court,time,p1,p2,p3,p4,team1,team2
1,1号场,2026-09-12 08:00,张伟,张强,张芳,张敏,张伟 & 张强,张芳 & 张敏
1,2号场,2026-09-12 08:00,李伟,李强,李芳,李敏,李伟 & 李强,李芳 & 李敏
1,3号场,2026-09-12 08:00,王伟,王强,王芳,王敏,王伟 & 王强,王芳 & 王敏
1,4号场,2026-09-12 08:00,刘伟,刘强,刘芳,刘敏,刘伟 & 刘强,刘芳 & 刘敏
1,5号场,2026-09-12 08:00,陈伟,陈强,陈芳,陈敏,陈伟 & 陈强,陈芳 & 陈敏
1,6号场,2026-09-12 08:00,杨伟,杨强,杨芳,杨敏,杨伟 & 杨强,杨芳 & 杨敏
1,1号场,2026-09-12 08:30,赵伟,赵强,赵芳,赵敏,赵伟 & 赵强,赵芳 & 赵敏
1,2号场,2026-09-12 08:30,黄伟,黄强,黄芳,黄敏,黄伟 & 黄强,黄芳 & 黄敏
1,3号场,2026-09-12 08:30,周伟,周强,周芳,周敏,周伟 & 周强,周芳 & 周敏
1,4号场,2026-09-12 08:30,吴伟,吴强,吴芳,吴敏,吴伟 & 吴强,吴芳 & 吴敏
1,5号场,2026-09-12 08:30,徐伟,徐强,徐芳,徐敏,徐伟 & 徐强,徐芳 & 徐敏
1,6号场,2026-09-12 08:30,孙伟,孙强,孙芳,孙敏,孙伟 & 孙强,孙芳 & 孙敏
1,1号场,2026-09-12 08:60,马伟,马强,马芳,马敏,马伟 & 马强,马芳 & 马敏
1,2号场,2026-09-12 08:60,朱伟,朱强,朱芳,朱敏,朱伟 & 朱强,朱芳 & 朱敏
1,3号场,2026-09-12 08:60,胡伟,胡强,胡芳,胡敏,胡伟 & 胡强,胡芳 & 胡敏
1,4号场,2026-09-12 08:60,郭伟,郭强,郭芳,郭敏,郭伟 & 郭强,郭芳 & 郭敏
